ent_station,ext_station,ent_time_period,riders_average_weekday
Arlington Cemetery,Ballston,AM Peak,0.09090909090909091
Arlington Cemetery,Benning Road,AM Peak,0.09090909090909091
Arlington Cemetery,Braddock Road,AM Peak,0.045454545454545456
Arlington Cemetery,Capitol South,AM Peak,0.4090909090909091
Arlington Cemetery,College Park-U of MD,AM Peak,0.045454545454545456
Arlington Cemetery,Court House,AM Peak,0.9090909090909091
Arlington Cemetery,Crystal City,AM Peak,1.5909090909090908
Arlington Cemetery,Dupont Circle,AM Peak,0.09090909090909091
Arlington Cemetery,Farragut West,AM Peak,0.8636363636363636
Arlington Cemetery,Federal Center SW,AM Peak,0.045454545454545456
Arlington Cemetery,Federal Triangle,AM Peak,0.22727272727272727
Arlington Cemetery,Foggy Bottom,AM Peak,0.3181818181818182
Arlington Cemetery,Franconia-Springfield,AM Peak,0.18181818181818182
Arlington Cemetery,Gallery Place-Chinatown,AM Peak,0.09090909090909091
Arlington Cemetery,Georgia Avenue-Petworth,AM Peak,0.045454545454545456
Arlington Cemetery,Glenmont,AM Peak,0.045454545454545456
Arlington Cemetery,Grosvenor,AM Peak,0.045454545454545456
Arlington Cemetery,Huntington,AM Peak,0.2727272727272727
Arlington Cemetery,King Street,AM Peak,1.2727272727272727
Arlington Cemetery,L'Enfant Plaza,AM Peak,0.36363636363636365
Arlington Cemetery,McPherson Square,AM Peak,1.0454545454545454
Arlington Cemetery,Medical Center,AM Peak,0.13636363636363635
Arlington Cemetery,Metro Center,AM Peak,2.5
Arlington Cemetery,Navy Yard,AM Peak,0.09090909090909091
Arlington Cemetery,Naylor Road,AM Peak,0.045454545454545456
Arlington Cemetery,New Carrollton,AM Peak,0.045454545454545456
Arlington Cemetery,Pentagon,AM Peak,1.0909090909090908
Arlington Cemetery,Pentagon City,AM Peak,0.36363636363636365
Arlington Cemetery,Prince George's Plaza,AM Peak,0.045454545454545456
Arlington Cemetery,Reagan Washington National Airport,AM Peak,0.5454545454545454
Arlington Cemetery,Rosslyn,AM Peak,1.2272727272727273
Arlington Cemetery,Smithsonian,AM Peak,0.5
Arlington Cemetery,Suitland,AM Peak,0.045454545454545456
Arlington Cemetery,U Street-Cardozo,AM Peak,0.09090909090909091
Arlington Cemetery,Union Station,AM Peak,1.0454545454545454
Arlington Cemetery,Van Dorn Street,AM Peak,0.09090909090909091
Arlington Cemetery,Vienna,AM Peak,0.045454545454545456
Arlington Cemetery,West Falls Church,AM Peak,0.045454545454545456
Arlington Cemetery,Woodley Park-Zoo,AM Peak,0.09090909090909091
Ballston,Addison Road,AM Peak,1.0
Ballston,Anacostia,AM Peak,6.7727272727272725
Ballston,Archives-Navy Memorial,AM Peak,17.636363636363637
Ballston,Arlington Cemetery,AM Peak,1.9090909090909092
