ent_station,ext_station,ent_time_period,riders_average_saturday,trip_length
west falls church,shaw howard university,AM Peak,0.25,13
west falls church,silver spring,AM Peak,1.25,19
west falls church,smithsonian,AM Peak,25.0,10
west falls church,southern avenue,AM Peak,0.5,14
west falls church,stadium armory,AM Peak,2.0,14
west falls church,suitland,AM Peak,0.75,16
west falls church,takoma,AM Peak,0.75,18
west falls church,tenleytown au,AM Peak,1.5,16
west falls church,twinbrook,AM Peak,0.25,22
west falls church,u street,AM Peak,0.25,14
west falls church,union station,AM Peak,17.0,13
west falls church,van dorn street,AM Peak,0.75,15
west falls church,van ness udc,AM Peak,4.0,15
west falls church,vienna,AM Peak,8.75,2
west falls church,virginia square gmu,AM Peak,1.25,3
west falls church,waterfront,AM Peak,1.75,10
west falls church,west falls church,AM Peak,2.25,0
west falls church,west hyattsville,AM Peak,0.25,18
west falls church,wheaton,AM Peak,0.25,21
west falls church,woodley park,AM Peak,7.0,13
west hyattsville,addison road,AM Peak,0.75,17
west hyattsville,anacostia,AM Peak,3.75,12
west hyattsville,archives,AM Peak,7.25,8
west hyattsville,arlington cemetery,AM Peak,0.25,11
west hyattsville,ballston-mu,AM Peak,2.25,16
west hyattsville,benning road,AM Peak,0.75,15
west hyattsville,bethesda,AM Peak,4.25,16
west hyattsville,braddock road,AM Peak,1.0,15
west hyattsville,branch avenue,AM Peak,4.75,17
west hyattsville,brookland cua,AM Peak,2.0,2
west hyattsville,capitol heights,AM Peak,1.5,16
west hyattsville,capitol south,AM Peak,3.0,11
west hyattsville,cheverly,AM Peak,0.5,17
west hyattsville,clarendon,AM Peak,1.25,14
west hyattsville,cleveland park,AM Peak,0.25,12
west hyattsville,college park university of maryland,AM Peak,5.25,2
west hyattsville,columbia heights,AM Peak,27.75,3
west hyattsville,crystal city,AM Peak,3.5,12
west hyattsville,deanwood,AM Peak,0.25,16
west hyattsville,dupont circle,AM Peak,9.25,10
west hyattsville,east falls church,AM Peak,0.25,17
west hyattsville,eastern market,AM Peak,2.0,12
west hyattsville,eisenhower avenue,AM Peak,0.25,17
west hyattsville,farragut north,AM Peak,10.5,9
west hyattsville,farragut west,AM Peak,2.75,10
west hyattsville,federal triangle,AM Peak,1.5,9
west hyattsville,foggy bottom gwu,AM Peak,8.25,11
west hyattsville,forest glen,AM Peak,0.25,4
west hyattsville,fort totten,AM Peak,11.25,1
west hyattsville,franconia springfield,AM Peak,1.75,18
west hyattsville,friendship heights,AM Peak,2.0,15
west hyattsville,gallery place,AM Peak,20.0,7
west hyattsville,georgia avenue petworth,AM Peak,7.5,2
west hyattsville,glenmont,AM Peak,1.75,6
west hyattsville,greenbelt,AM Peak,6.25,3
west hyattsville,grosvenor strathmore,AM Peak,0.5,18
west hyattsville,huntington,AM Peak,1.0,18
west hyattsville,judiciary square,AM Peak,1.25,6
west hyattsville,king street old town,AM Peak,0.75,16
west hyattsville,landover,AM Peak,0.5,18
west hyattsville,largo,AM Peak,1.25,19
west hyattsville,l'enfant plaza,AM Peak,9.75,9
west hyattsville,mcpherson square,AM Peak,1.5,9
west hyattsville,medical center,AM Peak,1.0,17
west hyattsville,metro center,AM Peak,5.0,8
west hyattsville,minnesota avenue,AM Peak,1.75,15
west hyattsville,morgan boulevard,AM Peak,0.25,18
west hyattsville,mount vernon square,AM Peak,7.0,6
west hyattsville,navy yard ballpark,AM Peak,5.25,11
west hyattsville,naylor road,AM Peak,1.25,15
west hyattsville,new carrollton,AM Peak,0.5,19
west hyattsville,noma gallaudet u,AM Peak,3.75,4
west hyattsville,pentagon,AM Peak,1.25,10
west hyattsville,pentagon city,AM Peak,5.25,11
west hyattsville,potomac avenue,AM Peak,0.75,13
west hyattsville,hyattsville crossing,AM Peak,9.25,1
west hyattsville,national airport,AM Peak,2.0,13
west hyattsville,rhode island avenue,AM Peak,3.0,3
west hyattsville,rockville,AM Peak,0.5,21
west hyattsville,rosslyn,AM Peak,1.5,12
west hyattsville,shady grove,AM Peak,0.25,22
west hyattsville,shaw howard university,AM Peak,7.75,5
west hyattsville,silver spring,AM Peak,4.75,3
west hyattsville,smithsonian,AM Peak,1.25,10
west hyattsville,southern avenue,AM Peak,1.75,14
west hyattsville,stadium armory,AM Peak,1.5,14
west hyattsville,suitland,AM Peak,3.25,16
west hyattsville,takoma,AM Peak,1.25,2
west hyattsville,tenleytown au,AM Peak,3.5,14
west hyattsville,twinbrook,AM Peak,0.75,20
west hyattsville,u street,AM Peak,12.5,4
west hyattsville,union station,AM Peak,8.75,5
west hyattsville,van dorn street,AM Peak,1.0,17
west hyattsville,van ness udc,AM Peak,1.75,13
west hyattsville,virginia square gmu,AM Peak,0.25,15
west hyattsville,waterfront,AM Peak,5.75,10
west hyattsville,west falls church,AM Peak,0.5,18
west hyattsville,west hyattsville,AM Peak,2.25,0
west hyattsville,wheaton,AM Peak,5.0,5
west hyattsville,north bethesda,AM Peak,1.75,19
west hyattsville,woodley park,AM Peak,1.0,11
wheaton,addison road,AM Peak,0.5,20
wheaton,anacostia,AM Peak,1.5,15
wheaton,archives,AM Peak,0.5,11
wheaton,arlington cemetery,AM Peak,1.5,14
wheaton,ballston-mu,AM Peak,3.75,19
wheaton,benning road,AM Peak,0.25,18
wheaton,bethesda,AM Peak,0.25,19
wheaton,braddock road,AM Peak,0.75,18
wheaton,branch avenue,AM Peak,5.25,20
wheaton,brookland cua,AM Peak,8.75,5
wheaton,capitol heights,AM Peak,0.25,19
wheaton,capitol south,AM Peak,1.5,14
wheaton,clarendon,AM Peak,3.75,17
wheaton,cleveland park,AM Peak,2.5,15
wheaton,college park university of maryland,AM Peak,0.75,7
wheaton,columbia heights,AM Peak,8.5,6
wheaton,congress heights,AM Peak,1.25,16
wheaton,court house,AM Peak,1.75,16
wheaton,crystal city,AM Peak,4.75,15
wheaton,deanwood,AM Peak,0.5,19
wheaton,dunn loring,AM Peak,0.5,22
wheaton,dupont circle,AM Peak,19.25,13
wheaton,east falls church,AM Peak,0.75,20
wheaton,eastern market,AM Peak,4.0,15
wheaton,eisenhower avenue,AM Peak,0.25,20
wheaton,farragut north,AM Peak,14.75,12
wheaton,farragut west,AM Peak,1.5,13
wheaton,federal center sw,AM Peak,0.25,13
wheaton,federal triangle,AM Peak,1.5,12
wheaton,foggy bottom gwu,AM Peak,6.5,14
wheaton,forest glen,AM Peak,2.0,1
wheaton,fort totten,AM Peak,11.25,4
wheaton,franconia springfield,AM Peak,2.5,21
wheaton,friendship heights,AM Peak,0.5,18
wheaton,gallery place,AM Peak,16.25,10
wheaton,georgia avenue petworth,AM Peak,2.75,5
wheaton,glenmont,AM Peak,3.5,1
wheaton,greenbelt,AM Peak,1.75,8
wheaton,grosvenor strathmore,AM Peak,0.75,21
wheaton,huntington,AM Peak,1.25,21
wheaton,judiciary square,AM Peak,18.0,9
wheaton,king street old town,AM Peak,4.0,19
wheaton,largo,AM Peak,0.5,22
wheaton,l'enfant plaza,AM Peak,1.25,12
wheaton,mcpherson square,AM Peak,1.75,12
wheaton,metro center,AM Peak,19.75,11
wheaton,minnesota avenue,AM Peak,0.25,18
wheaton,morgan boulevard,AM Peak,1.25,21
wheaton,mount vernon square,AM Peak,4.25,9
wheaton,navy yard ballpark,AM Peak,1.75,14
wheaton,naylor road,AM Peak,1.25,18
wheaton,new carrollton,AM Peak,0.5,22
wheaton,noma gallaudet u,AM Peak,6.25,7
wheaton,pentagon,AM Peak,0.75,13
wheaton,pentagon city,AM Peak,2.75,14
wheaton,potomac avenue,AM Peak,0.5,16
wheaton,hyattsville crossing,AM Peak,1.5,6
wheaton,national airport,AM Peak,6.25,16
wheaton,rhode island avenue,AM Peak,5.25,6
wheaton,rosslyn,AM Peak,3.75,15
wheaton,shaw howard university,AM Peak,2.5,8
wheaton,silver spring,AM Peak,15.5,2
wheaton,smithsonian,AM Peak,5.75,13
wheaton,southern avenue,AM Peak,1.0,17
wheaton,stadium armory,AM Peak,1.0,17
wheaton,suitland,AM Peak,1.5,19
wheaton,takoma,AM Peak,5.0,3
wheaton,tenleytown au,AM Peak,1.0,17
wheaton,u street,AM Peak,6.0,7
wheaton,union station,AM Peak,30.75,8
wheaton,van dorn street,AM Peak,1.25,20
wheaton,van ness udc,AM Peak,2.25,16
wheaton,vienna,AM Peak,2.75,23
wheaton,waterfront,AM Peak,1.25,13
wheaton,west falls church,AM Peak,0.75,21
wheaton,west hyattsville,AM Peak,1.5,5
wheaton,wheaton,AM Peak,6.0,0
wheaton,woodley park,AM Peak,4.0,14
north bethesda,anacostia,AM Peak,2.0,17
north bethesda,archives,AM Peak,1.0,13
north bethesda,arlington cemetery,AM Peak,1.25,16
north bethesda,ballston-mu,AM Peak,3.5,19
north bethesda,benning road,AM Peak,0.75,20
north bethesda,bethesda,AM Peak,13.0,3
north bethesda,branch avenue,AM Peak,1.0,22
north bethesda,brookland cua,AM Peak,1.25,17
north bethesda,capitol heights,AM Peak,0.5,21
north bethesda,capitol south,AM Peak,2.25,16
north bethesda,cheverly,AM Peak,0.25,22
north bethesda,cleveland park,AM Peak,3.0,7
north bethesda,college park university of maryland,AM Peak,0.25,21
north bethesda,columbia heights,AM Peak,0.75,16
north bethesda,court house,AM Peak,0.25,16
north bethesda,crystal city,AM Peak,1.5,17
north bethesda,dunn loring,AM Peak,0.5,22
north bethesda,dupont circle,AM Peak,22.75,9
north bethesda,east falls church,AM Peak,1.25,20
north bethesda,eastern market,AM Peak,0.25,17
north bethesda,eisenhower avenue,AM Peak,0.25,22
north bethesda,farragut north,AM Peak,17.75,10
north bethesda,farragut west,AM Peak,0.5,13
north bethesda,federal triangle,AM Peak,1.25,12
north bethesda,foggy bottom gwu,AM Peak,4.5,14
north bethesda,fort totten,AM Peak,1.25,18
north bethesda,franconia springfield,AM Peak,0.25,23
north bethesda,friendship heights,AM Peak,9.25,4
north bethesda,gallery place,AM Peak,7.75,12
north bethesda,georgia avenue petworth,AM Peak,0.5,17
north bethesda,glenmont,AM Peak,0.25,23
north bethesda,grosvenor strathmore,AM Peak,0.5,1
north bethesda,huntington,AM Peak,0.5,23
north bethesda,judiciary square,AM Peak,2.75,13
north bethesda,king street old town,AM Peak,0.75,21
north bethesda,l'enfant plaza,AM Peak,0.75,14
north bethesda,mcpherson square,AM Peak,0.75,12
north bethesda,medical center,AM Peak,5.5,2
north bethesda,metro center,AM Peak,8.75,11
north bethesda,morgan boulevard,AM Peak,0.25,23
north bethesda,mount vernon square,AM Peak,0.75,13
north bethesda,navy yard ballpark,AM Peak,0.5,16
north bethesda,naylor road,AM Peak,2.0,20
north bethesda,new carrollton,AM Peak,0.25,24
north bethesda,noma gallaudet u,AM Peak,2.0,15
north bethesda,pentagon,AM Peak,1.0,15
north bethesda,pentagon city,AM Peak,0.5,16
north bethesda,hyattsville crossing,AM Peak,0.25,20
north bethesda,national airport,AM Peak,7.5,18
north bethesda,rhode island avenue,AM Peak,1.25,16
north bethesda,rockville,AM Peak,3.5,2
north bethesda,rosslyn,AM Peak,2.25,15
north bethesda,shady grove,AM Peak,9.75,3
north bethesda,shaw howard university,AM Peak,0.25,14
north bethesda,silver spring,AM Peak,0.25,20
north bethesda,smithsonian,AM Peak,2.25,13
north bethesda,southern avenue,AM Peak,1.25,19
north bethesda,stadium armory,AM Peak,0.5,19
north bethesda,tenleytown au,AM Peak,7.0,5
north bethesda,twinbrook,AM Peak,0.75,1
north bethesda,u street,AM Peak,0.5,15
north bethesda,union station,AM Peak,24.5,14
north bethesda,van dorn street,AM Peak,0.25,22
north bethesda,van ness udc,AM Peak,2.5,6
north bethesda,vienna,AM Peak,0.25,23
north bethesda,virginia square gmu,AM Peak,1.25,18
north bethesda,waterfront,AM Peak,0.5,15
north bethesda,wheaton,AM Peak,0.25,22
north bethesda,north bethesda,AM Peak,1.25,0
north bethesda,woodley park,AM Peak,3.25,8
woodley park,anacostia,AM Peak,0.75,9
woodley park,archives,AM Peak,1.75,5
woodley park,arlington cemetery,AM Peak,7.75,8
woodley park,ballston-mu,AM Peak,3.25,11
woodley park,benning road,AM Peak,0.25,12
woodley park,bethesda,AM Peak,15.5,5
woodley park,branch avenue,AM Peak,2.0,14
woodley park,brookland cua,AM Peak,11.75,9
woodley park,capitol south,AM Peak,3.75,8
woodley park,clarendon,AM Peak,1.75,9
woodley park,cleveland park,AM Peak,2.5,1
woodley park,college park university of maryland,AM Peak,0.5,13
woodley park,columbia heights,AM Peak,0.5,8
woodley park,congress heights,AM Peak,0.25,10
woodley park,court house,AM Peak,0.75,8
woodley park,crystal city,AM Peak,1.25,9
woodley park,deanwood,AM Peak,0.25,13
woodley park,dunn loring,AM Peak,0.75,14
woodley park,dupont circle,AM Peak,15.5,1
woodley park,east falls church,AM Peak,1.5,12
woodley park,eastern market,AM Peak,3.75,9
woodley park,farragut north,AM Peak,15.0,2
woodley park,federal center sw,AM Peak,1.0,7
woodley park,federal triangle,AM Peak,4.25,4
woodley park,foggy bottom gwu,AM Peak,4.25,6
woodley park,forest glen,AM Peak,0.75,13
woodley park,fort totten,AM Peak,2.25,10
woodley park,franconia springfield,AM Peak,0.75,15
woodley park,friendship heights,AM Peak,14.0,4
woodley park,gallery place,AM Peak,23.5,4
woodley park,glenmont,AM Peak,1.5,15
woodley park,greenbelt,AM Peak,0.25,14
woodley park,grosvenor strathmore,AM Peak,4.5,7
woodley park,huntington,AM Peak,3.25,15
woodley park,judiciary square,AM Peak,5.0,5
woodley park,king street old town,AM Peak,2.0,13
woodley park,largo,AM Peak,0.25,16
woodley park,l'enfant plaza,AM Peak,1.25,6
woodley park,mcpherson square,AM Peak,0.25,4
woodley park,medical center,AM Peak,5.25,6
woodley park,metro center,AM Peak,41.25,3
woodley park,minnesota avenue,AM Peak,0.75,12
woodley park,mount vernon square,AM Peak,1.25,5
woodley park,navy yard ballpark,AM Peak,1.25,8
woodley park,new carrollton,AM Peak,1.75,16
woodley park,noma gallaudet u,AM Peak,3.25,7
woodley park,pentagon,AM Peak,0.5,7
woodley park,pentagon city,AM Peak,6.0,8
woodley park,potomac avenue,AM Peak,1.5,10
woodley park,hyattsville crossing,AM Peak,0.75,12
woodley park,national airport,AM Peak,17.0,10
woodley park,rhode island avenue,AM Peak,1.0,8
woodley park,rockville,AM Peak,2.5,10
woodley park,rosslyn,AM Peak,3.75,7
woodley park,shady grove,AM Peak,4.0,11
woodley park,shaw howard university,AM Peak,1.75,6
woodley park,silver spring,AM Peak,4.25,12
woodley park,smithsonian,AM Peak,19.5,5
woodley park,southern avenue,AM Peak,0.75,11
woodley park,stadium armory,AM Peak,0.25,11
woodley park,suitland,AM Peak,1.0,13
woodley park,takoma,AM Peak,1.25,11
woodley park,tenleytown au,AM Peak,14.75,3
woodley park,twinbrook,AM Peak,2.5,9
woodley park,u street,AM Peak,0.25,7
woodley park,union station,AM Peak,33.75,6
woodley park,van ness udc,AM Peak,5.25,2
woodley park,vienna,AM Peak,2.5,15
woodley park,virginia square gmu,AM Peak,0.5,10
woodley park,waterfront,AM Peak,0.5,7
woodley park,west falls church,AM Peak,0.25,13
woodley park,wheaton,AM Peak,1.0,14
woodley park,north bethesda,AM Peak,2.5,8
woodley park,woodley park,AM Peak,13.0,0
addison road,addison road,Evening,7.75,0
addison road,anacostia,Evening,7.0,11
addison road,archives,Evening,0.5,9
addison road,ballston-mu,Evening,1.25,15
addison road,benning road,Evening,22.5,2
addison road,bethesda,Evening,0.75,19
addison road,braddock road,Evening,1.75,14
addison road,branch avenue,Evening,3.75,16
addison road,brookland cua,Evening,2.25,15
addison road,capitol heights,Evening,11.75,1
addison road,capitol south,Evening,0.5,6
addison road,cheverly,Evening,0.25,6
addison road,columbia heights,Evening,5.5,14
addison road,congress heights,Evening,2.5,12
addison road,court house,Evening,0.25,12
addison road,crystal city,Evening,1.5,11
addison road,deanwood,Evening,3.5,5
addison road,dunn loring,Evening,0.25,18
addison road,dupont circle,Evening,1.0,13
addison road,east falls church,Evening,1.25,16
addison road,eastern market,Evening,3.25,5
addison road,eisenhower avenue,Evening,3.5,16
addison road,farragut north,Evening,1.0,12
addison road,farragut west,Evening,2.0,13
addison road,federal triangle,Evening,1.5,10
addison road,foggy bottom gwu,Evening,5.25,12
addison road,forest glen,Evening,0.5,19
addison road,fort totten,Evening,10.0,16
addison road,franconia springfield,Evening,1.75,17
addison road,friendship heights,Evening,0.25,18
addison road,gallery place,Evening,9.25,10
addison road,georgia avenue petworth,Evening,4.75,15
addison road,glenmont,Evening,1.5,21
addison road,greenbelt,Evening,0.75,20
addison road,huntington,Evening,1.5,17
addison road,king street old town,Evening,1.0,15
addison road,landover,Evening,2.5,7
addison road,largo,Evening,36.5,2
addison road,l'enfant plaza,Evening,0.25,8
addison road,mcpherson square,Evening,2.0,12
addison road,medical center,Evening,0.75,20
addison road,metro center,Evening,10.5,11
addison road,minnesota avenue,Evening,6.5,4
addison road,morgan boulevard,Evening,8.25,1
addison road,mount vernon square,Evening,2.5,11
addison road,navy yard ballpark,Evening,1.25,10
addison road,naylor road,Evening,4.0,14
addison road,new carrollton,Evening,8.5,8
addison road,noma gallaudet u,Evening,1.75,13
addison road,pentagon,Evening,2.0,9
addison road,pentagon city,Evening,5.75,10
addison road,potomac avenue,Evening,11.0,4
addison road,hyattsville crossing,Evening,1.25,18
addison road,rhode island avenue,Evening,5.5,14
addison road,rockville,Evening,1.25,24
addison road,rosslyn,Evening,2.25,11
addison road,shady grove,Evening,3.25,25
addison road,shaw howard university,Evening,2.5,12
addison road,silver spring,Evening,3.0,18
addison road,smithsonian,Evening,0.5,9
addison road,southern avenue,Evening,5.5,13
addison road,stadium armory,Evening,11.75,3
addison road,suitland,Evening,2.0,15
addison road,takoma,Evening,1.0,17
addison road,tenleytown au,Evening,1.25,17
addison road,twinbrook,Evening,1.75,23
addison road,u street,Evening,4.5,13
addison road,union station,Evening,2.0,12
addison road,van dorn street,Evening,0.75,16
addison road,vienna,Evening,1.5,19
addison road,virginia square gmu,Evening,0.25,14
addison road,waterfront,Evening,3.25,9
addison road,west hyattsville,Evening,0.75,17
addison road,wheaton,Evening,0.25,20
addison road,woodley park,Evening,1.5,14
anacostia,addison road,Evening,6.0,11
anacostia,anacostia,Evening,30.75,0
anacostia,archives,Evening,4.0,4
anacostia,ballston-mu,Evening,3.75,10
anacostia,benning road,Evening,10.5,9
anacostia,bethesda,Evening,1.5,14
anacostia,braddock road,Evening,3.25,9
anacostia,branch avenue,Evening,14.25,5
anacostia,brookland cua,Evening,7.5,10
anacostia,capitol heights,Evening,7.0,10
anacostia,capitol south,Evening,0.25,5
anacostia,cheverly,Evening,2.0,11
anacostia,cleveland park,Evening,0.25,10
anacostia,college park university of maryland,Evening,1.25,14
anacostia,columbia heights,Evening,47.75,9
anacostia,congress heights,Evening,9.75,1
anacostia,court house,Evening,1.0,7
anacostia,crystal city,Evening,3.5,6
anacostia,deanwood,Evening,6.75,10
anacostia,dunn loring,Evening,2.0,13
anacostia,dupont circle,Evening,6.5,8
anacostia,east falls church,Evening,0.25,11
anacostia,eastern market,Evening,0.5,6
anacostia,eisenhower avenue,Evening,1.0,11
anacostia,farragut north,Evening,1.0,7
anacostia,farragut west,Evening,4.0,8
anacostia,federal center sw,Evening,1.0,4
anacostia,foggy bottom gwu,Evening,15.75,7
anacostia,forest glen,Evening,0.25,14
anacostia,fort totten,Evening,26.25,11
anacostia,franconia springfield,Evening,1.75,12
anacostia,friendship heights,Evening,2.25,13
anacostia,gallery place,Evening,87.75,5
anacostia,georgia avenue petworth,Evening,33.25,10
anacostia,glenmont,Evening,1.75,16
anacostia,greenbelt,Evening,2.25,15
anacostia,huntington,Evening,8.25,12
anacostia,king street old town,Evening,3.0,10
anacostia,landover,Evening,3.5,12
anacostia,largo,Evening,8.0,13
anacostia,l'enfant plaza,Evening,1.75,3
anacostia,mcpherson square,Evening,2.25,7
anacostia,metro center,Evening,3.0,6
anacostia,minnesota avenue,Evening,10.0,9
anacostia,morgan boulevard,Evening,1.25,12
anacostia,mount vernon square,Evening,9.75,6
anacostia,navy yard ballpark,Evening,28.5,1
anacostia,naylor road,Evening,25.25,3
anacostia,new carrollton,Evening,7.75,13
anacostia,noma gallaudet u,Evening,15.75,8
anacostia,pentagon,Evening,3.75,4
anacostia,pentagon city,Evening,10.75,5
anacostia,potomac avenue,Evening,3.75,7
anacostia,hyattsville crossing,Evening,2.0,13
anacostia,national airport,Evening,1.75,7
anacostia,rhode island avenue,Evening,13.5,9
anacostia,rockville,Evening,1.75,19
anacostia,rosslyn,Evening,5.0,6
anacostia,shady grove,Evening,2.0,20
anacostia,shaw howard university,Evening,22.5,7
anacostia,silver spring,Evening,8.25,13
anacostia,smithsonian,Evening,1.0,4
anacostia,southern avenue,Evening,15.5,2
anacostia,stadium armory,Evening,4.0,8
anacostia,suitland,Evening,41.0,4
anacostia,takoma,Evening,2.75,12
anacostia,tenleytown au,Evening,0.5,12
anacostia,u street,Evening,27.5,8
anacostia,union station,Evening,5.5,7
anacostia,van dorn street,Evening,1.0,11
anacostia,van ness udc,Evening,1.0,11
anacostia,vienna,Evening,0.75,14
anacostia,waterfront,Evening,22.75,2
anacostia,west falls church,Evening,1.0,12
anacostia,west hyattsville,Evening,4.0,12
anacostia,wheaton,Evening,1.5,15
anacostia,north bethesda,Evening,0.5,17
anacostia,woodley park,Evening,5.75,9
archives,addison road,Evening,2.75,9
archives,anacostia,Evening,23.0,4
archives,archives,Evening,9.0,0
archives,arlington cemetery,Evening,1.0,3
archives,ballston-mu,Evening,4.25,8
archives,benning road,Evening,2.0,7
archives,bethesda,Evening,4.75,10
archives,braddock road,Evening,13.75,7
archives,branch avenue,Evening,18.25,9
archives,brookland cua,Evening,0.5,6
archives,capitol heights,Evening,1.75,8
archives,capitol south,Evening,2.75,3
archives,cheverly,Evening,0.25,9
archives,clarendon,Evening,0.75,6
archives,cleveland park,Evening,0.75,6
archives,college park university of maryland,Evening,14.25,10
archives,columbia heights,Evening,52.75,5
archives,congress heights,Evening,8.5,5
archives,court house,Evening,3.0,5
archives,crystal city,Evening,66.5,4
archives,deanwood,Evening,0.25,8
archives,dunn loring,Evening,3.0,11
archives,dupont circle,Evening,15.5,4
archives,east falls church,Evening,2.75,9
archives,eastern market,Evening,10.0,4
archives,eisenhower avenue,Evening,20.0,9
archives,farragut north,Evening,3.25,3
archives,farragut west,Evening,4.0,4
archives,federal center sw,Evening,2.5,2
archives,foggy bottom gwu,Evening,16.5,5
archives,forest glen,Evening,0.5,10
archives,fort totten,Evening,30.75,7
archives,franconia springfield,Evening,15.5,10
archives,friendship heights,Evening,2.0,9
archives,gallery place,Evening,18.25,1
archives,georgia avenue petworth,Evening,15.5,6
archives,glenmont,Evening,0.75,12
archives,greenbelt,Evening,16.5,11
archives,grosvenor strathmore,Evening,2.5,12
archives,huntington,Evening,36.5,10
archives,judiciary square,Evening,0.25,2
archives,king street old town,Evening,42.5,8
archives,landover,Evening,2.25,10
archives,largo,Evening,2.25,11
archives,l'enfant plaza,Evening,13.25,1
archives,mcpherson square,Evening,4.25,3
archives,medical center,Evening,0.75,11
archives,metro center,Evening,1.75,2
archives,minnesota avenue,Evening,1.25,7
archives,morgan boulevard,Evening,0.75,10
archives,mount vernon square,Evening,16.25,2
archives,navy yard ballpark,Evening,24.75,3
archives,naylor road,Evening,10.25,7
archives,new carrollton,Evening,15.5,11
archives,noma gallaudet u,Evening,6.25,4
archives,pentagon,Evening,15.25,2
archives,pentagon city,Evening,60.25,3
archives,potomac avenue,Evening,2.5,5
archives,hyattsville crossing,Evening,10.0,9
archives,national airport,Evening,3.75,5
archives,rhode island avenue,Evening,2.75,5
archives,rockville,Evening,2.0,15
archives,rosslyn,Evening,9.25,4
archives,shady grove,Evening,5.75,16
archives,shaw howard university,Evening,12.0,3
archives,silver spring,Evening,4.25,9
archives,smithsonian,Evening,4.0,2
archives,southern avenue,Evening,22.25,6
archives,stadium armory,Evening,2.5,6
archives,suitland,Evening,11.75,8
archives,takoma,Evening,4.5,8
archives,tenleytown au,Evening,1.0,8
archives,twinbrook,Evening,1.75,14
archives,u street,Evening,42.25,4
archives,union station,Evening,7.0,3
archives,van dorn street,Evening,8.25,9
archives,van ness udc,Evening,2.25,7
archives,vienna,Evening,8.5,12
archives,virginia square gmu,Evening,2.0,7
archives,waterfront,Evening,26.75,2
archives,west falls church,Evening,2.25,10
archives,west hyattsville,Evening,7.5,8
archives,wheaton,Evening,4.0,11
archives,north bethesda,Evening,1.25,13
archives,woodley park,Evening,5.75,5
arlington cemetery,anacostia,Evening,0.5,5
arlington cemetery,archives,Evening,1.5,3
arlington cemetery,arlington cemetery,Evening,3.75,0
arlington cemetery,ballston-mu,Evening,2.25,5
arlington cemetery,bethesda,Evening,2.0,13
arlington cemetery,braddock road,Evening,2.25,6
arlington cemetery,branch avenue,Evening,4.0,10
arlington cemetery,brookland cua,Evening,0.5,9
arlington cemetery,capitol south,Evening,1.5,4
arlington cemetery,clarendon,Evening,0.5,3
arlington cemetery,columbia heights,Evening,1.5,8
arlington cemetery,court house,Evening,1.0,2
arlington cemetery,crystal city,Evening,14.0,3
arlington cemetery,dunn loring,Evening,3.75,8
arlington cemetery,dupont circle,Evening,5.5,7
arlington cemetery,east falls church,Evening,0.5,6
arlington cemetery,eastern market,Evening,1.5,5
arlington cemetery,eisenhower avenue,Evening,0.5,8
arlington cemetery,farragut north,Evening,0.75,6
arlington cemetery,farragut west,Evening,3.25,3
arlington cemetery,foggy bottom gwu,Evening,12.5,2
arlington cemetery,fort totten,Evening,0.75,10
arlington cemetery,franconia springfield,Evening,14.0,9
arlington cemetery,friendship heights,Evening,0.25,12
arlington cemetery,gallery place,Evening,8.5,4
arlington cemetery,georgia avenue petworth,Evening,0.75,9
arlington cemetery,glenmont,Evening,0.25,15
arlington cemetery,greenbelt,Evening,5.25,14
arlington cemetery,grosvenor strathmore,Evening,1.25,15
arlington cemetery,huntington,Evening,2.0,9
arlington cemetery,judiciary square,Evening,1.25,5
arlington cemetery,king street old town,Evening,5.25,7
arlington cemetery,largo,Evening,0.25,12
arlington cemetery,l'enfant plaza,Evening,4.0,2
arlington cemetery,mcpherson square,Evening,8.5,4
arlington cemetery,metro center,Evening,8.0,5
arlington cemetery,morgan boulevard,Evening,1.25,11
arlington cemetery,mount vernon square,Evening,0.25,5
arlington cemetery,navy yard ballpark,Evening,0.75,4
arlington cemetery,new carrollton,Evening,4.5,12
arlington cemetery,pentagon,Evening,8.25,1
arlington cemetery,pentagon city,Evening,23.5,2
arlington cemetery,hyattsville crossing,Evening,1.0,12
arlington cemetery,national airport,Evening,0.5,4
arlington cemetery,rhode island avenue,Evening,0.75,8
arlington cemetery,rosslyn,Evening,23.0,1
arlington cemetery,shady grove,Evening,1.75,19
arlington cemetery,silver spring,Evening,0.5,12
arlington cemetery,smithsonian,Evening,4.0,3
arlington cemetery,stadium armory,Evening,1.75,7
arlington cemetery,suitland,Evening,1.0,9
arlington cemetery,takoma,Evening,0.5,11
arlington cemetery,twinbrook,Evening,2.0,17
arlington cemetery,u street,Evening,0.75,7
arlington cemetery,union station,Evening,5.5,6
arlington cemetery,van dorn street,Evening,2.0,8
arlington cemetery,vienna,Evening,7.5,9
arlington cemetery,virginia square gmu,Evening,0.25,4
arlington cemetery,west falls church,Evening,1.25,7
arlington cemetery,woodley park,Evening,2.0,8
ballston-mu,addison road,Evening,4.75,15
ballston-mu,anacostia,Evening,12.25,10
ballston-mu,archives,Evening,1.5,8
ballston-mu,ballston-mu,Evening,30.0,0
ballston-mu,benning road,Evening,4.75,13
ballston-mu,bethesda,Evening,3.5,16
ballston-mu,braddock road,Evening,4.25,11
ballston-mu,branch avenue,Evening,6.25,15
ballston-mu,brookland cua,Evening,3.75,14
ballston-mu,capitol heights,Evening,3.25,14
