ent_station,ext_station,ent_time_period,riders_average_saturday,trip_length
addison road,stadium armory,AM Peak,5.75,3
addison road,suitland,AM Peak,0.5,15
addison road,takoma,AM Peak,0.5,17
addison road,tenleytown au,AM Peak,1.25,17
addison road,twinbrook,AM Peak,0.75,23
addison road,u street,AM Peak,2.0,13
addison road,union station,AM Peak,5.0,12
addison road,van dorn street,AM Peak,1.5,16
addison road,van ness udc,AM Peak,2.5,16
addison road,vienna,AM Peak,1.0,19
addison road,virginia square gmu,AM Peak,0.25,14
addison road,waterfront,AM Peak,2.0,9
addison road,west falls church,AM Peak,2.5,17
addison road,west hyattsville,AM Peak,0.5,17
addison road,wheaton,AM Peak,1.5,20
addison road,north bethesda,AM Peak,0.5,22
addison road,woodley park,AM Peak,1.5,14
anacostia,addison road,AM Peak,3.5,11
anacostia,anacostia,AM Peak,10.25,0
anacostia,archives,AM Peak,20.5,4
anacostia,arlington cemetery,AM Peak,1.75,5
anacostia,ballston-mu,AM Peak,11.5,10
anacostia,benning road,AM Peak,4.5,9
anacostia,bethesda,AM Peak,5.75,14
anacostia,braddock road,AM Peak,2.5,9
anacostia,branch avenue,AM Peak,20.0,5
anacostia,brookland cua,AM Peak,14.0,10
anacostia,capitol heights,AM Peak,1.75,10
anacostia,capitol south,AM Peak,1.0,5
anacostia,cheverly,AM Peak,0.75,11
anacostia,clarendon,AM Peak,0.75,8
anacostia,cleveland park,AM Peak,2.75,10
anacostia,college park university of maryland,AM Peak,2.5,14
anacostia,columbia heights,AM Peak,30.5,9
anacostia,congress heights,AM Peak,3.25,1
anacostia,court house,AM Peak,0.5,7
anacostia,crystal city,AM Peak,3.0,6
anacostia,deanwood,AM Peak,2.25,10
anacostia,dunn loring,AM Peak,1.75,13
anacostia,dupont circle,AM Peak,10.0,8
anacostia,east falls church,AM Peak,3.25,11
anacostia,eastern market,AM Peak,4.75,6
anacostia,eisenhower avenue,AM Peak,1.0,11
anacostia,farragut north,AM Peak,6.5,7
anacostia,farragut west,AM Peak,9.0,8
anacostia,federal triangle,AM Peak,2.0,5
anacostia,foggy bottom gwu,AM Peak,20.75,7
anacostia,forest glen,AM Peak,0.25,14
anacostia,fort totten,AM Peak,32.25,11
anacostia,franconia springfield,AM Peak,4.75,12
anacostia,friendship heights,AM Peak,6.0,13
anacostia,gallery place,AM Peak,50.75,5
anacostia,georgia avenue petworth,AM Peak,18.0,10
anacostia,glenmont,AM Peak,2.5,16
anacostia,greenbelt,AM Peak,5.0,15
anacostia,grosvenor strathmore,AM Peak,0.5,16
anacostia,huntington,AM Peak,6.0,12
anacostia,judiciary square,AM Peak,3.5,6
anacostia,king street old town,AM Peak,3.5,10
anacostia,landover,AM Peak,2.25,12
anacostia,largo,AM Peak,6.25,13
anacostia,l'enfant plaza,AM Peak,13.75,3
anacostia,mcpherson square,AM Peak,7.25,7
anacostia,medical center,AM Peak,3.0,15
anacostia,metro center,AM Peak,13.0,6
anacostia,minnesota avenue,AM Peak,11.5,9
anacostia,morgan boulevard,AM Peak,2.25,12
anacostia,mount vernon square,AM Peak,16.75,6
anacostia,navy yard ballpark,AM Peak,34.25,1
anacostia,naylor road,AM Peak,10.0,3
anacostia,new carrollton,AM Peak,9.0,13
anacostia,noma gallaudet u,AM Peak,10.5,8
anacostia,pentagon,AM Peak,6.0,4
anacostia,pentagon city,AM Peak,17.75,5
anacostia,potomac avenue,AM Peak,1.25,7
anacostia,hyattsville crossing,AM Peak,5.25,13
anacostia,national airport,AM Peak,6.75,7
anacostia,rhode island avenue,AM Peak,16.25,9
anacostia,rockville,AM Peak,2.5,19
anacostia,rosslyn,AM Peak,3.75,6
anacostia,shady grove,AM Peak,2.75,20
anacostia,shaw howard university,AM Peak,19.75,7
anacostia,silver spring,AM Peak,7.75,13
anacostia,smithsonian,AM Peak,7.5,4
anacostia,southern avenue,AM Peak,5.25,2
anacostia,stadium armory,AM Peak,3.5,8
anacostia,suitland,AM Peak,22.0,4
anacostia,takoma,AM Peak,3.75,12
anacostia,tenleytown au,AM Peak,6.25,12
anacostia,twinbrook,AM Peak,1.25,18
anacostia,u street,AM Peak,15.25,8
anacostia,union station,AM Peak,12.5,7
anacostia,van dorn street,AM Peak,1.25,11
anacostia,van ness udc,AM Peak,8.0,11
anacostia,vienna,AM Peak,1.25,14
anacostia,virginia square gmu,AM Peak,1.25,9
anacostia,waterfront,AM Peak,16.75,2
anacostia,west falls church,AM Peak,1.5,12
anacostia,west hyattsville,AM Peak,1.75,12
anacostia,wheaton,AM Peak,4.0,15
anacostia,north bethesda,AM Peak,0.75,17
anacostia,woodley park,AM Peak,11.0,9
archives,addison road,AM Peak,0.5,9
archives,anacostia,AM Peak,2.5,4
archives,archives,AM Peak,3.25,0
