ent_station,ext_station,ent_time_period,riders_average_weekday,trip_length
archives,east falls church,AM Peak,0.5909090909090909,9
archives,eastern market,AM Peak,4.136363636363637,4
archives,eisenhower avenue,AM Peak,1.7727272727272727,9
archives,farragut north,AM Peak,4.318181818181818,3
archives,farragut west,AM Peak,4.5,4
archives,federal center sw,AM Peak,5.590909090909091,2
archives,federal triangle,AM Peak,0.4545454545454545,3
archives,foggy bottom gwu,AM Peak,3.0,5
archives,forest glen,AM Peak,0.1818181818181818,10
archives,fort totten,AM Peak,4.2727272727272725,7
archives,franconia springfield,AM Peak,2.0,10
archives,friendship heights,AM Peak,0.6818181818181818,9
archives,gallery place,AM Peak,11.136363636363637,1
archives,georgia avenue petworth,AM Peak,3.727272727272727,6
archives,glenmont,AM Peak,0.0454545454545454,12
archives,greenbelt,AM Peak,6.7727272727272725,11
archives,grosvenor strathmore,AM Peak,0.3181818181818182,12
archives,huntington,AM Peak,6.0,10
archives,judiciary square,AM Peak,2.0,2
archives,king street old town,AM Peak,15.318181818181818,8
archives,landover,AM Peak,0.1818181818181818,10
archives,largo,AM Peak,1.0909090909090908,11
archives,l'enfant plaza,AM Peak,34.95454545454545,1
archives,mcpherson square,AM Peak,3.272727272727273,3
archives,medical center,AM Peak,0.5,11
archives,metro center,AM Peak,1.181818181818182,2
archives,minnesota avenue,AM Peak,1.318181818181818,7
archives,morgan boulevard,AM Peak,0.0909090909090909,10
archives,mount vernon square,AM Peak,4.045454545454546,2
archives,navy yard ballpark,AM Peak,25.363636363636363,3
archives,naylor road,AM Peak,1.7272727272727273,7
archives,new carrollton,AM Peak,2.272727272727273,11
archives,noma gallaudet u,AM Peak,6.909090909090909,4
archives,pentagon,AM Peak,31.045454545454547,2
archives,pentagon city,AM Peak,10.818181818181818,3
archives,potomac avenue,AM Peak,1.0454545454545454,5
archives,hyattsville crossing,AM Peak,4.136363636363637,9
archives,national airport,AM Peak,13.909090909090908,5
archives,rhode island avenue,AM Peak,1.2272727272727273,5
archives,rockville,AM Peak,0.2727272727272727,15
archives,rosslyn,AM Peak,4.7727272727272725,4
archives,shady grove,AM Peak,0.4090909090909091,16
